MINS_ELAPSED,pH,pH_MIN,pH_MAX,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX,M_C4H5NO,M_C4H5NO_MIN,M_C4H5NO_MAX,M_DIMER,M_DIMER_MIN,M_DIMER_MAX,M_NH
1069,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3964734777355836,0.366952474680631,0.41882469925072796,0.010556627566147852,0.007198991517214698,0.014747060959343056,0.0007029692166527885,0.00024890965987188235,0.0012444509096992168,0.41351893228103814
1070,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3963896386396152,0.3668154249163647,0.418791641773796,0.010560688369011728,0.007202182709260548,0.014757086200383431,0.000704033309267157,0.00024934229154895056,0.0012460751757608845,0.4134350931850697
1071,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3963062272811807,0.3666782700533222,0.4187585450256671,0.010565992151026415,0.007205365078926022,0.014767100683185846,0.0007050974844160866,0.00024977520060002643,0.0012476986475059727,0.41335168182663523
1072,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3962236323577756,0.3665410103393265,0.418725408990108,0.010571738022488987,0.007208538625266394,0.014777104398877538,0.0007061617398890463,0.0002502083866511889,0.0012493213207652096,0.4132690869032301
1073,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39614052807151423,0.36640364602253855,0.4186922336509415,0.010576178756625485,0.007211703347367142,0.014787097338603053,0.0007072260734760858,0.0002506418493281295,0.0012509431913775967,0.41318598261696876
1074,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3960571789890559,0.36626617735145545,0.4186590189920468,0.010580289047010092,0.0072148592443439935,0.01479707949352431,0.0007082904829678471,0.00025107558825615225,0.0012525642551904422,0.41310263353451043
1075,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3959766308919992,0.3661286045749075,0.4186257649973597,0.010585354208812316,0.007218006315342949,0.01480705085482064,0.0007093549661555718,0.00025150960306017403,0.0012541845080593845,0.4130220854374537
1076,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3958945760871922,0.36599092794205607,0.418592471650872,0.010590706992544848,0.0072211445595403295,0.014817011413688854,0.000710419520831112,0.00025194389336472434,0.001255803945848423,0.4129400306326467
1077,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3958101546440144,0.3658531477023911,0.4185591389366328,0.010595875799798194,0.0072242739761428035,0.014826961161343284,0.0007114841447869409,0.0002523784587939458,0.0012574225644299446,0.41285560918946895
1078,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3957271094644015,0.3657152641057291,0.4185257668387471,0.010600622060385428,0.007227394564387426,0.014836900089015856,0.0007125488358161612,0.000252813298971594,0.001259040359684752,0.412772564009856
1079,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3956437823616784,0.3655772774022103,0.4184923553413772,0.01060591365161321,0.0072305063235416816,0.014846828187956126,0.0007136135917125158,0.00025324841352103764,0.0012606573275020928,0.41268923690713294
1080,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3955592599700765,0.3654391878422961,0.4184589044287418,0.010611411120640266,0.007233609252903507,0.01485674544943134,0.000714674227433065,0.0002536838020652587,0.0012622734637796856,0.41260471451553105
1081,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3954743744351684,0.3653009956767673,0.41842541408511663,0.010616895179503157,0.007236703351801344,0.014866651864726497,0.0007157323600280428,0.0002541194642268528,0.001263888764423749,0.41251982898062295
1082,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39539007675660975,0.3651627011567211,0.4183918842948344,0.01062243940091691,0.007239788619594155,0.014876547425144384,0.0007168023385823064,0.00025455539962802854,0.001265503225349029,0.4124355313020643
1083,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3953061602778333,0.36502430453356893,0.4183583150422848,0.010627952601582068,0.007242865055671476,0.014886432122005647,0.0007178726346717785,0.0002549916078906085,0.0012671168424788265,0.4123516148232878
