date,file,chrom,dc_trap,mfc,src1,src2,signal,vialstart,trapstart,eject,vial,MINS_ELAPSED,rh,SOLUTION_ID,wt_frac,nh3_bubbler,MZ84,MZ85,MZ283,note,dc_spring,ac_spring_f1,ac_spring_a1,ac_spring_f2,ac_spring_a2,dc_spring_after,ac_spring_f1_after,ac_spring_a1_after,ac_spring_f2_after,ac_spring_a2_after,data_path,code,comptype,compnum,p84_j,p85_j,p283_j,n84_j,n84,n85_j,n85,bad_data,nh3_vial,naoh_vial
180831,1,0.4,620,295,,,1,,8/30/18 20:29,8/31/18 8:26,,717,70,bd10hg20_002,0.3,,21.16129032,83.29032258,13948.35484,,40,68,4.81,63,4.29,34,75,4.87,69,4.32,C:/MassCenter DataORG/DropletMSProject.7pj/180831.7fl\Data001.7rw,180831_001_0.4,bd10hg20,2,,89.5,13968.2,,0.001517117,0.006407411,0.005971337,,,
180831,2,0.3,640,275,,,1,,8/31/18 8:35,8/31/18 9:46,,70.99999993,70,bd10hg20_002,0.3,,16.11111111,155.6774194,9013.870968,,41,62,4.78,57,4.32,36,67,4.9,60,4.26,C:/MassCenter DataORG/DropletMSProject.7pj/180831.7fl\Data002.7rw,180831_002_0.3,bd10hg20,2,,181.3,9264,,0.001787369,0.01957038,0.017270873,,,
180831,3,0.25,650,285,,,1,,8/31/18 9:51,8/31/18 12:19,,147.9999999,70,bd10hg20_002,0.3,,19.5625,147.0322581,9891.677419,,47,63,4.96,59,4.46,36,70,4.89,64,4.36,C:/MassCenter DataORG/DropletMSProject.7pj/180831.7fl\Data003.7rw,180831_003_0.2,bd10hg20,2,,161.8,9922.7,,0.001977673,0.016306046,0.014864239,,,
180831,4,0.5,600,300,,,1,,8/31/18 12:27,8/31/18 13:47,,80.00000006,70,bd10hg20_002,0.3,,20.83870968,263.0322581,14858.64516,,38,72,4.93,65,4.23,35,76,4.78,70,4.24,C:/MassCenter DataORG/DropletMSProject.7pj/180831.7fl\Data004.7rw,180831_004_0.5,bd10hg20,2,,287.1,14873.8,,0.001402464,0.019302398,0.017702304,,,
180831,5,0.6,480,217,,,1,,8/31/18 13:53,8/31/18 14:56,,63,70,bd10hg20_002,0.3,,19.35483871,103.2580645,8886,,50,60,4.9,55,4.36,44,63,4.93,53,3.98,C:/MassCenter DataORG/DropletMSProject.7pj/180831.7fl\Data005.7rw,180831_005_0.6,bd10hg20,2,,121.5,8896,,0.002178127,0.013657824,0.011620309,,,
180906,1,0.6,660,275,,,1,,9/6/18 14:11,9/6/18 14:35,,24.00000005,15,bd10hg20_002,0.3,,24.12903226,153.7419355,8867.096774,,40,65,5,58,4.37,33,69,4.98,63,4.47,C:/MassCenter DataORG/DropletMSProject.7pj/180906.7fl\Data001.7rw,180906_001_0.6,bd10hg20,2,,171.8,8884.3,,0.002721187,0.019337483,0.017338475,,,
180906,3,1,680,300,,,1,,9/6/18 16:00,9/6/18 16:16,,15.99999998,14,bd10hg20_002,0.3,,12.58064516,286.8709677,9165.709677,,50,63,4.87,57,4.2,40,69,4.87,62,4.19,C:/MassCenter DataORG/DropletMSProject.7pj/180906.7fl\Data003.7rw,180906_003_1.0,bd10hg20,2,,307.9,9181,,0.001372577,0.033536652,0.031298282,,,
180906,4,0.6,590,275,,,1,,9/6/18 16:20,9/6/18 17:02,,41.99999991,12,bd10hg20_002,0.3,,21.80645161,412.3870968,27330.70968,,41,77,4.99,71,4.37,29,87,4.96,79,4.27,C:/MassCenter DataORG/DropletMSProject.7pj/180906.7fl\Data004.7rw,180906_004_0.6,bd10hg20,2,,419.6,27345.8,,0.000797874,0.015344221,0.015088781,,,
180907,1,0.3,640,270,,,1,,9/7/18 8:21,9/7/18 9:28,,66.99999988,13,bd10hg20_002,0.3,,17.58064516,192.1290323,18962.25806,,61,55,4.95,48,4.12,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data001.7rw,180907_001_0.3,bd10hg20,2,,201.1,18954,,0.000927139,0.010609898,0.010132181,,,
180907,2,0.45,530,235,,,1,,9/7/18 9:31,9/7/18 10:51,,79.99999993,8,bd10hg20_002,0.3,,22.93548387,450.0645161,25701.16129,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data002.7rw,180907_002_0.5,bd10hg20,2,,476.4,25705.8,,0.000892391,0.018532783,0.017511447,,,
