MINS_ELAPSED,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX,M_C4H5NO,M_C4H5NO_MIN,M_C4H5NO_MAX,M_DIMER,M_DIMER_MIN,M_DIMER_MAX,pH,M_AMMONIA
19,0.8865378280385157,0.7083224868822148,1.083745734414468,0.009886371215420471,0.0050408333781057964,0.027249568761278396,0.10171281740432388,0.07469218448481021,0.12820016460636185,6.9,0.00021749999999999997
20,0.8491279487485892,0.6691088239606467,1.0519277366912199,0.009826632314468677,0.005026896268196459,0.026963702124603826,0.10417153527088466,0.07701924283416488,0.13092750762200234,6.9,0.00021749999999999997
21,0.8129731199580137,0.6317759571631157,1.0204664318594472,0.009765455285062216,0.0050127992824542285,0.02667445239387683,0.10635915960697354,0.07911349574900367,0.13328443467430767,6.9,0.00021749999999999997
22,0.7777899024527448,0.5963087211671579,0.9894326571216796,0.009707054119333848,0.0049985487956407965,0.02638354039404755,0.1082848951435505,0.0809854072018241,0.1352947370601475,6.9,0.00021749999999999997
23,0.7439140460803888,0.5626764518382898,0.9588886393352845,0.00964574655028784,0.004984142802150142,0.02609224651438288,0.10993519070927896,0.0826459696047329,0.13698199071653666,6.9,0.00021749999999999997
24,0.7112709038452578,0.5308360430949829,0.9288883487407094,0.009585658133281712,0.0049695785940051355,0.02580152501335104,0.1113518010738593,0.0841064839006783,0.1383693202816642,6.9,0.00021749999999999997
25,0.6797302602119302,0.5007346584773842,0.8994779173052392,0.009522467700699972,0.004954861503194156,0.025512088759154405,0.11253245112664728,0.0853783809036241,0.1394792011069298,6.9,0.00021749999999999997
26,0.6495303776693184,0.4723121271313343,0.8706960977951701,0.009461516295264448,0.004939990406292271,0.025224471116422183,0.1135138592678509,0.08647307494595616,0.1403333070880443,6.9,0.00021749999999999997
27,0.6204618950581945,0.4455029854170512,0.8425747942228076,0.009395996688321645,0.004924967473929022,0.024939071201131813,0.1143188931482727,0.0874018438934656,0.14095240061982878,6.9,0.00021749999999999997
28,0.5927235861667768,0.42023821897396996,0.8151394875588593,0.009333183483514213,0.004909794237971529,0.024656188072083758,0.11490540204452357,0.08817573387425065,0.14135624883728035,6.9,0.00021749999999999997
29,0.5660679514139595,0.3964467237907822,0.7884098978691167,0.009269050188461594,0.004894472222063272,0.024376042976540883,0.11531802148200986,0.0888054740687309,0.14156357124947502,6.9,0.00021749999999999997
30,0.540661422412178,0.3740565154651703,0.7624004144595102,0.009207613164786669,0.00487900373820626,0.024098801433825697,0.11559402641079365,0.08930143208240708,0.1415920120352042,6.9,0.00021749999999999997
31,0.5163224490375131,0.3529957088225411,0.7371206136977437,0.0091432830153401,0.004863390826258015,0.023824584302525858,0.11571446880663107,0.08967356237171431,0.14145813245423644,6.9,0.00021749999999999997
32,0.4930414838515373,0.3331933044623347,0.7125757609048935,0.00908157381718256,0.004847635823758336,0.02355347910484646,0.1157149743261703,0.08993137354839252,0.14117741360359184,6.9,0.00021749999999999997
33,0.4709594671753866,0.31457981952720176,0.688767287229061,0.009021676526993486,0.004828522930514338,0.023285547444654973,0.11561792375172415,0.09008391255250957,0.14076429707693094,6.9,0.00021749999999999997
34,0.4498344922275453,0.2970877447352321,0.6656932353750045,0.008959138844864841,0.004808228890857271,0.023020830291762502,0.11535063250755084,0.09013975205837507,0.1402321801056983,6.9,0.00021749999999999997
35,0.4297157981497327,0.2806519043411527,0.6433486751401319,0.008891654229054389,0.004787730894991086,0.022759353307710957,0.11503878695837608,0.0901069846703848,0.13959347827962282,6.9,0.00021749999999999997
36,0.4106472083547918,0.26520970435654656,0.6217261073727821,0.00883204497431818,0.004767032791870799,0.022501129637942062,0.11464219158243374,0.08999322846545671,0.13885966639563568,6.9,0.00021749999999999997
37,0.3924821597520747,0.2507012964921193,0.6008158132486514,0.00876742718641453,0.004746138173412291,0.022246162429817782,0.11412271635057378,0.0898056330262279,0.13804131586983925,6.9,0.00021749999999999997
38,0.3751102891895163,0.2370696769217748,0.5806061746495071,0.008699748765413226,0.004725052646113921,0.021994447109865242,0.1135539946674862,0.08955088856925136,0.13714815189489118,6.9,0.00021749999999999997
39,0.3585093462688793,0.2242607273619481,0.5610840015778593,0.008633330209188082,0.004703782314304404,0.021745972798157456,0.11295016742943133,0.08923524434711883,0.13618909928285922,6.9,0.00021749999999999997
40,0.34284823248445284,0.21222321169264205,0.5422347880170342,0.00857281271153006,0.004682333782463714,0.02150072334652821,0.11229738204824558,0.08886452815001927,0.13517233337160456,6.9,0.00021749999999999997
41,0.3278211914495893,0.20090873845027835,0.5240429677181422,0.00850831458304216,0.004660711339554024,0.021258678407305026,0.11158500946020862,0.08844414998008347,0.13413493945036598,6.9,0.00021749999999999997
42,0.3136522998554515,0.19027169567084584,0.506492130016725,0.00844590616275313,0.004638919355627595,0.021019814616616075,0.11082224622696417,0.08797913500963185,0.1331802177403466,6.9,0.00021749999999999997
43,0.30008881681828536,0.18026916806021245,0.489565217802741,0.00838548660054902,0.0046169643664433395,0.020784105351597547,0.11003101913958403,0.08747414120513383,0.13218225583221352,6.9,0.00021749999999999997
44,0.287180291906573,0.17086084007588678,0.4732447029778941,0.008321098460675191,0.004594852768005338,0.02055152206025915,0.1091731944402207,0.08693347460473548,0.13114675832410108,6.9,0.00021749999999999997
45,0.27480493222924063,0.16200888204659794,0.4575127372808061,0.008257917719337777,0.004572591094132278,0.020322034023808524,0.10829056618326176,0.08636111322717828,0.13007894224599847,6.9,0.00021749999999999997
46,0.2631652265760857,0.15367784008572272,0.4423512895953594,0.008195028215287621,0.004550184040966124,0.02009560913823491,0.10741053775811778,0.08576072591259762,0.12898357304290514,6.9,0.00021749999999999997
