MINS_ELAPSED,pH,pH_MIN,pH_MAX,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX,M_C4H5NO,M_C4H5NO_MIN,M_C4H5NO_MAX,M_DIMER,M_DIMER_MIN,M_DIMER_MAX,M_NH
29.0,5.2630400890858935,4.897098523440061,5.677508855509618,0.5507012610466061,0.5009802859623892,0.5987536625172847,0.043242642703934416,0.031558136766339936,0.0586009646732008,0.04921533341816847,0.04168186764206255,0.05735801861363436,0.5221018350882437
30.0,5.246416672820893,4.88422852863956,5.656477403911968,0.5428488100848883,0.4921774087841887,0.5914361865341914,0.04271171951699091,0.03093199900554465,0.05829471731910845,0.04905760064732753,0.04151902246680023,0.05726093161175929,0.5142493841265259
31.0,5.230092164379902,4.871576395278446,5.6358471521278855,0.5352153153636825,0.483603925218267,0.5842690825533775,0.04214982570907107,0.030310675073698667,0.05794859780229197,0.04890102030509247,0.041351481811521804,0.05713744157480286,0.5066158894053201
32.0,5.214058573572983,4.859136637894148,5.615606728579097,0.52769193978682,0.4752521953901273,0.577248027165035,0.04158964843390227,0.029695412958726214,0.05756747961329736,0.048721814121642434,0.04117970936717235,0.05699009411812781,0.49909251382845765
33.0,5.198308192483514,4.846903953646939,5.59574518741861,0.5204105774990498,0.4671148734479735,0.5703688659305385,0.04100898960987387,0.029087259961031182,0.05715573199975909,0.04853446805071617,0.04100413983198943,0.05682123413015418,0.49181115154068744
34.0,5.182833583045583,4.834873214782788,5.5762519887922,0.5132561590909674,0.4591848960897818,0.563627603962229,0.040426749095116614,0.02848708507907245,0.056717279348620475,0.04833432368249455,0.04078216432015391,0.05663301693398262,0.48465673313260504
35.0,5.167627565475121,4.823039461466429,5.557116980187983,0.506339462651768,0.4514554695475956,0.5570203969732032,0.03983707584413119,0.027895607758050663,0.056255643291621166,0.048118739911781935,0.04053273101790696,0.056427421772250026,0.4777400366934056
36.0,5.152683206996036,4.811397894963633,5.5383303788047495,0.4995743488278826,0.4439200589363532,0.5505435410404549,0.03924965034736251,0.027313414471387742,0.055773989821842965,0.04790010204556115,0.04028173224939542,0.056206264031451215,0.4709749228695202
37.0,5.137993811474498,4.7999438711529585,5.519882754874708,0.4929089039590303,0.43657237715837177,0.5441934679490822,0.03866148838862928,0.026740976288920425,0.055275161820318684,0.0476792260511746,0.0400295339381598,0.05597120707084835,0.4643094780006679
38.0,5.1235529092440215,4.788672894348577,5.501765015880903,0.4863583571107598,0.4294063749399773,0.5379667358183109,0.038078882321528194,0.026178666141815504,0.05476171633085675,0.04744907812015095,0.039776471564982055,0.055723773962600524,0.4577589311523974
39.0,5.109354247769959,4.777580611416902,5.483968391613834,0.4799696140386577,0.4224162311773063,0.5322233446994858,0.037495891563889466,0.025626768334697788,0.054235950131234494,0.04719838850855952,0.03952285205370268,0.05546607742689482,0.4513701880802953
40.0,5.09539178246687,4.766662806170853,5.466484420015625,0.4737665531567702,0.4155963435487761,0.526597806541945,0.036905393095434565,0.025085494638900876,0.05369992924819768,0.04694705336565538,0.03926895619052008,0.05524059824880003,0.4451671271984078
41.0,5.0816596682641935,4.755915394026571,5.449304933763798,0.4676426417385228,0.4089413197908407,0.521079052076691,0.03632248604892342,0.024554989775514204,0.05315550933397983,0.04669738404298602,0.03901504004834691,0.055006666293290936,0.4390432157801604
42.0,5.068152251309468,4.745334416908388,5.432422047549915,0.4616735120092649,0.4024459690641672,0.5156640752093326,0.035743604539341584,0.02403534434751765,0.052604359016146636,0.04644885388646375,0.038761337173478856,0.054765234804983985,0.4330740860509025
43.0,5.054864061339639,4.7349160383886755,5.415828146011473,0.4559235015302728,0.39610529421567103,0.5104177705610895,0.0351670810168314,0.02352659926587296,0.05204797684376372,0.046184451598530636,0.03850806002144863,0.05451717709900419,0.4273240755719104
44.0,5.041789804168289,4.72465653905004,5.399515872278268,0.4502204686349506,0.3899144834302967,0.5054362408644116,0.03460217623107603,0.023028754917437583,0.05148770939813667,0.04592963917747045,0.03825540165863398,0.05426329301344445,0.4216210426765882
45.0,5.028924354730653,4.714552312058101,5.383478117096997,0.4446451268447871,0.3838689030031365,0.5005446114885316,0.03403692164005802,0.022541775506423316,0.05092476197778813,0.04567350592002292,0.03800353721382421,0.0540043143832764,0.4160457008864247
46.0,5.016262750297673,4.7045998589337685,5.367708008500354,0.4392357366011497,0.3779640902182977,0.4957404232388387,0.03348420716389197,0.022065595073691085,0.050360218711779925,0.045407919561376915,0.037752625247213234,0.05374091083819897,0.41063631064278727
47.0,5.003800184401254,4.6947957855146,5.352198901989066,0.433967333134015,0.3721957462355898,0.4910213137908924,0.03293332250769868,0.021600121821230056,0.04979505037653256,0.04514341174373239,0.03750280905559391,0.053473694903064126,0.4053679071756525
48.0,4.99153200036494,4.685136798095471,5.336944371197406,0.4287156670754024,0.366559729742936,0.4863850116342308,0.03239382328344947,0.021145242191998842,0.0492301246834874,0.04487676321401034,0.03725421786791508,0.053203226508443946,0.4001162411170399
49.0,4.979453685547387,4.675619699739315,5.321938199014623,0.42361612308736185,0.3610520502948559,0.48182933191961996,0.03187360132792893,0.020700824555258776,0.04866621980274049,0.04460898217874608,0.03700696793789831,0.05293001731953224,0.39501669712899945
50.0,4.967560866106693,4.666241386749268,5.3071743691365345,0.4185795783219916,0.3556688624449896,0.4773521707886695,0.031340281600969834,0.02026671999363056,0.0481040282361524,0.04434172622082756,0.03676116363736332,0.05265453489630072,0.38998015236362915
51.0,4.955849301380837,4.656998845294028,5.292647058023141,0.4135597065675144,0.3504064597516719,0.4729515026897824,0.030820057677533607,0.019842767929212756,0.047544168691819766,0.04407655783659716,0.03651689829164312,0.05237720593847443,0.384960280609152
52.0,4.944314879026972,4.64784928120066,5.278350627239703,0.4087104891172656,0.3452612691790551,0.4686253760915016,0.03030704987868934,0.019428798822007085,0.0469871914747029,0.04380559352010383,0.03627425508033046,0.05209842011004015,0.3801110631589032
53.0,4.932953610216023,4.638549702030293,5.264279616160101,0.4040398079313707,0.3402298457861126,0.4643719074173327,0.029812353620531976,0.01902463279274057,0.04643358427713699,0.0435351764137951,0.03603330807057276,0.051818532733053084,0.3754403819730082
54.0,4.921761624937681,4.629382368347787,5.250428735012633,0.3993985868068292,0.33530886743865673,0.4601892804262264,0.02931433893520577,0.018630084138788368,0.04588378032239486,0.04326296673237124,0.03579412269958104,0.051537867759268746,0.37079916084846676
55.0,4.910735167663288,4.620344479156076,5.236792858249685,0.3948556296439196,0.3304951300178213,0.4560757424931044,0.028826946654672225,0.01824496279203981,0.045338160921221435,0.04300049732691287,0.035556756507769176,0.05125672049982129,0.3662562036855572
56.0,4.8998705931475355,4.611433312004765,5.223367018223761,0.3903684804420252,0.3257855425175528,0.4520295999713788,0.028353384441812183,0.017869073679506263,0.04479706218192063,0.04274053346602003,0.035321260024762983,0.05097535964676555,0.3617690544836628
