MINS_ELAPSED,pH,pH_MIN,pH_MAX,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX,M_C4H5NO,M_C4H5NO_MIN,M_C4H5NO_MAX,M_DIMER,M_DIMER_MIN,M_DIMER_MAX,M_BD_OH,M_BD_OH_MIN,M_BD_OH_MAX,M_NH
10.4,8.469814647242183,8.416284283317502,8.545218445348452,0.4470633763721418,0.4145994297833913,0.4675103087165544,3.8488549297796836e-12,-2.0778036442491002e-08,2.516078255147293e-08,0.08626699834550952,0.08153267465457711,0.09694526958180344,0.015919594334771973,0.015127502006666203,0.016315608954812915,-0.1343175760088107
10.5,8.469344073605148,8.416119801184474,8.544073004492697,0.4459597183345344,0.4134050144441365,0.466532754114003,5.0372079243108375e-12,-2.3414063468264742e-08,2.5529838975237107e-08,0.08613626294247577,0.08138674859963854,0.09681909488153394,0.01603662774514764,0.015236475134190429,0.016438167653240215,-0.13542123404641807
10.6,8.468879681462914,8.41595705998568,8.542946675211367,0.4448691122112737,0.4122157860021585,0.4655586787404853,1.6876895889062319e-12,-2.2975412206771203e-08,2.6069963501407174e-08,0.08600654647332517,0.0812413439683187,0.09669324757639636,0.016153464018242955,0.015345036885256128,0.01656034553009839,-0.1365118401696788
10.7,8.468421354769728,8.41579603222667,8.541838983149477,0.4437900535772052,0.4110317118797359,0.4645880709726625,5.423736072008725e-13,-2.329365483954706e-08,2.6454941093814142e-08,0.08587791266840489,0.08109645807223342,0.0965677266524662,0.01626972875772585,0.015453190750887963,0.016682144530553104,-0.13759089880374728
10.8,8.46796897030077,8.41563669098893,8.540749469521407,0.4427086518308,0.4098527604646246,0.463620906816234,4.118106800501231e-13,-2.2487859215497064e-08,2.5562726250319757e-08,0.08574869123042472,0.08095208810664357,0.0964425315484069,0.01638548398694059,0.015560940139410152,0.01680356863263029,-0.13867230055015248
10.9,8.467522417286062,8.415479009914858,8.539677690477323,0.4416393526175257,0.4086789009998196,0.4626571768234847,4.887994069021404e-13,-2.3754820395617755e-08,2.3085554740502592e-08,0.0856224962727788,0.08080823127534423,0.09631766075912147,0.01650137645393148,0.015668288396621412,0.01692461939465354,-0.1397415997634268
11.0,8.467081582886491,8.415322963193251,8.538623216500293,0.4405675632619783,0.40751010307437696,0.4616968464617112,-2.515611951374858e-13,-2.2925510268689378e-08,2.166371769042444e-08,0.08549540682335806,0.08066488476005315,0.09619311280645466,0.01661646057332393,0.0157752392422908,0.01704530245578375,-0.14081338911897415
11.1,8.466646357684294,8.415168525545205,8.537585631832366,0.4395008827731382,0.4063463362786266,0.4607399187961884,-6.29896589260588e-13,-2.4964473239743692e-08,2.0638589071627493e-08,0.0853689106162077,0.0805220459013705,0.09606888634879507,0.016731358246747787,0.015881794785932626,0.017165617272099927,-0.14188006960781427
11.2,8.466216634012536,8.415015672210469,8.536564533928013,0.4384418942899205,0.40518757033588587,0.4597863681076798,-5.017906445599441e-13,-2.028293133686982e-08,1.981067334757589e-08,0.0852416553979118,0.08037971205744175,0.09594498035864067,0.01684578435126487,0.015987959164367526,0.01728556796201245,-0.142939058091032
11.3,8.465792306907192,8.414864378934206,8.535559532933412,0.4373926343403388,0.40403377531259693,0.4588361721268567,-1.2660636565816492e-12,-2.6903402712094046e-08,2.167416512721407e-08,0.08511353338308571,0.08023788042118711,0.09582139364310953,0.016959835256035418,0.016093735395438808,0.017405158120308694,-0.14398831804061366
11.4,8.465373278570203,8.414714621954177,8.53457025119018,0.4363345198740367,0.4028849215797386,0.4578893085998317,-2.92904574328804e-12,-2.0257080789093465e-08,2.29689351372217e-08,0.08499135766135747,0.08009654846706657,0.09569812481983524,0.01707334536246599,0.016199126497724366,0.01752439133943236,-0.14504643250691576
11.5,8.464959449996138,8.414566377988278,8.533596322762182,0.43528338675042544,0.4017409797274998,0.4569457585652401,-1.6516173973438636e-12,-2.4629116108608797e-08,2.3500810220328733e-08,0.0848653349048216,0.07995571351270743,0.09557517295557598,0.01718663750876377,0.01630413550414231,0.017643270599339757,-0.14609756563052703
11.6,8.464550723487548,8.41441962422249,8.532637392984238,0.4342391333685308,0.4006019206796589,0.4560055091202707,-2.449042599478225e-12,-2.330541289075692e-08,2.3284072700975786e-08,0.0847402402913185,0.07981537290751907,0.0954525361534912,0.017299294249267468,0.01640876543405431,0.017761797752952196,-0.14714181901242165
11.7,8.464147005909764,8.41427433829917,8.531693118031495,0.4331999327190109,0.3994677161203637,0.4550685426839922,-2.4358962067551018e-12,-2.1994555889550107e-08,2.34292699822963e-08,0.08461503794610549,0.07967552414810464,0.09533021380121437,0.017411729512302427,0.01651301923626466,0.017879975523432564,-0.14818101966194155
