SECONDS,MZ150,MZ168,MZ84,MZ85,MZ149
2.683917,60,45,324,2549,206
2.689208,65,41,320,2529,200
2.694542,66,31,302,2462,206
2.699875,75,44,304,2463,196
2.705208,65,61,347,2490,195
2.710542,54,28,264,2519,196
2.715875,64,44,330,2537,181
2.721208,72,37,288,2561,187
2.726542,69,52,294,2360,209
2.731833,66,45,282,2418,181
2.737167,55,47,302,2502,184
2.7425,62,49,312,2341,176
2.747833,55,47,293,2348,191
2.753167,64,50,301,2359,175
2.7585,65,41,284,2355,203
2.763833,61,33,291,2358,180
2.769125,73,43,278,2129,186
2.774458,66,35,272,2171,197
2.779792,52,44,271,2198,190
2.785125,54,34,278,2241,172
2.790458,59,38,308,2110,178
2.795792,51,40,308,2136,168
2.801125,51,39,280,2196,176
2.806417,79,61,284,2053,197
2.81175,59,53,267,2051,176
2.817083,56,44,300,2028,179
2.822417,71,54,254,2089,193
2.82775,65,40,299,2084,208
2.833083,79,61,249,1949,201
2.838417,78,51,259,1964,193
2.84375,64,43,304,1876,232
2.849042,72,48,275,1928,225
2.854375,64,51,269,1855,198
2.859708,76,40,283,1885,211
2.865042,76,56,261,1846,182
2.870375,61,54,264,1950,198
2.875708,62,37,259,1850,198
2.881042,58,47,295,1803,178
2.886375,64,38,251,1841,218
2.891667,70,48,275,1850,201
2.897,69,50,264,1799,197
2.902333,63,31,298,1848,192
2.907667,64,55,296,1807,205
2.913,66,44,263,1959,195
2.918333,61,43,276,1994,205
2.923667,62,48,284,1927,191
2.929,63,77,306,1775,196
2.934292,68,46,291,1960,194
2.939625,74,55,255,1846,185
2.944958,66,51,276,1892,203
2.950292,65,58,290,1869,202
2.955625,74,46,293,1916,189
2.960958,67,52,268,1884,210
2.966292,77,53,275,1891,214
2.971583,71,52,303,1827,174
2.976917,69,53,270,1870,207
2.98225,78,52,308,1879,226
2.987583,60,49,288,1959,203
2.992917,63,47,287,1871,192
2.99825,72,51,260,1759,245
3.003583,66,47,258,1864,203
3.008875,74,59,250,1762,237
3.014208,66,46,274,1816,186
3.019542,62,52,295,1881,194
3.024875,65,43,342,1941,204
3.030208,75,49,294,1918,201
3.035542,64,37,270,1884,192
3.040875,66,49,286,1864,197
3.046208,70,64,301,1885,229
3.051542,67,48,296,1882,204
3.056833,72,50,284,1887,210
3.062167,64,52,284,1857,199
3.0675,71,42,295,1878,199
3.072833,52,37,253,1871,190
3.078167,70,53,289,1935,229
3.0835,74,42,277,1919,198
3.088833,76,55,312,2053,194
3.094125,68,46,368,2034,203
3.099458,78,46,346,2083,201
3.104792,78,55,344,2186,252
3.110125,71,54,348,2120,191
3.115458,65,54,389,2355,182
3.120792,64,48,376,2235,186
3.126125,61,54,382,2234,186
3.131417,60,52,420,2461,193
3.13675,66,58,378,2479,196
3.142083,67,45,412,2551,216
3.147417,75,38,389,2486,203
3.15275,67,48,401,2347,211
3.158083,59,49,419,2536,207
3.163417,62,49,399,2662,210
3.168708,67,47,453,2687,194
3.174042,81,51,471,2760,229
3.179375,71,51,495,2779,202
3.184708,74,54,420,2896,194
3.190042,70,44,496,2940,186
3.195375,69,40,534,2911,200
3.200708,70,55,463,3102,206
3.206042,80,42,513,2959,196
3.211375,76,57,479,2887,228
3.216667,76,56,466,2827,186
3.222,78,52,512,2861,194
3.227333,71,50,434,2820,163
3.232667,67,37,500,2876,178
3.238,77,50,513,2991,169
3.243333,76,62,449,2837,192
3.248667,82,59,469,2865,201
3.253958,70,46,455,2779,188
3.259292,74,51,488,2798,176
3.264625,70,53,427,2681,160
3.269958,76,48,467,2686,222
3.275292,68,50,442,2703,187
3.280625,64,51,420,2548,184
3.285958,69,42,414,2466,185
3.29125,61,49,432,2433,188
3.296583,62,49,460,2410,181
3.301917,65,38,431,2431,175
3.30725,66,39,462,2428,185
3.312583,66,56,433,2414,199
3.317917,80,52,392,2239,205
3.32325,81,51,426,2339,217
3.328583,68,48,438,2285,189
3.333875,71,52,413,2281,191
3.339208,62,61,438,2312,177
3.344542,72,54,441,2447,181
3.349875,73,48,437,2320,177
3.355208,61,43,399,2192,171
3.360542,64,58,418,2221,176
3.365875,79,50,434,2237,190
3.371208,65,55,379,2177,176
3.3765,80,53,401,2214,204
3.381833,75,57,415,2180,190
3.387167,71,45,383,2103,245
3.3925,75,49,352,2089,213
3.397833,74,51,419,2144,226
3.403167,74,46,396,2153,221
3.4085,64,51,396,2150,197
3.413792,70,54,391,2208,216
3.419125,70,48,392,2139,223
3.424458,75,59,398,2103,197
3.429792,66,44,470,2187,217
3.435125,64,42,452,2209,223
3.440458,73,53,446,2290,214
3.445792,66,52,512,2538,185
3.451083,72,56,498,2403,200
3.456417,79,62,490,2537,193
3.46175,62,50,496,2545,175
3.467083,76,65,487,2539,191
3.472417,64,44,497,2592,197
3.47775,76,56,526,2628,227
3.483083,78,53,487,2614,192
3.488417,88,54,488,2553,195
3.493708,75,51,474,2579,213
3.499042,70,56,480,2602,223
3.504375,85,55,459,2652,202
3.509708,81,44,504,2643,219
3.515042,83,58,542,2744,202
3.520375,74,60,470,2580,227
3.525708,72,58,490,2566,201
3.531042,87,52,449,2552,214
3.536333,79,59,492,2514,215
3.541667,82,62,476,2520,209
3.547,67,50,497,2604,210
3.552333,69,54,479,2451,213
3.557667,64,58,519,2500,173
3.563,81,74,497,2483,226
3.568333,79,67,463,2388,206
3.573667,83,51,466,2375,214
3.578958,89,50,449,2306,193
3.584292,64,59,448,2415,193
3.589625,69,55,431,2418,168
3.594958,72,63,480,2373,182
3.600292,74,58,457,2343,196
3.605625,81,53,457,2368,211
3.610958,78,51,426,2225,187
3.61625,73,40,449,2224,189
3.621583,74,55,476,2244,201
3.626917,72,61,436,2185,201
3.63225,71,50,441,2214,186
3.637583,75,48,470,2359,172
3.642917,67,46,434,2192,197
3.64825,63,45,452,2183,162
3.653542,63,53,470,2192,189
3.658875,76,57,455,2116,197
3.664208,74,43,450,2148,178
3.669542,65,50,478,2127,157
3.674875,87,45,442,1997,171
3.680208,66,56,452,2204,182
3.685542,73,46,435,2184,202
3.690875,62,50,413,2170,197
3.696167,79,53,447,2028,195
3.7015,79,43,451,2046,188
3.706833,63,59,427,1986,169
3.712167,65,54,426,1989,197
3.7175,74,66,399,2021,200
3.722833,79,56,435,1973,234
3.728167,71,49,447,1994,208
3.7335,83,57,448,2035,210
3.738792,71,50,415,2028,220
3.744125,71,55,401,1900,213
3.749458,71,60,440,1848,208
3.754792,73,64,441,1858,228
3.760125,85,44,407,1947,204
3.765458,79,58,408,1923,233
3.770792,76,52,411,1907,197
3.776083,78,60,410,1844,194
3.781417,75,54,392,1914,217
3.78675,72,53,411,1899,212
3.792083,66,53,389,1952,213
3.797417,71,52,395,2002,207
3.80275,72,48,423,1967,198
3.808083,73,54,402,1963,170
3.813375,62,46,433,1982,205
3.818708,89,46,463,1996,198
3.824042,71,52,470,2070,189
3.829375,66,46,455,1997,213
3.834708,79,51,443,2061,213
3.840042,73,43,484,2129,211
3.845375,70,43,495,2130,193
3.850708,78,39,497,2307,207
3.856,65,43,477,2523,200
3.861333,69,55,536,2519,188
3.866667,81,59,509,2508,214
3.872,78,56,516,2625,215
