SECONDS,COUNTS_MZ150,COUNTS_MZ149,COUNTS_MZ168,COUNTS_MZ85,COUNTS_MZ84,COUNTS_MZ283
1.565792,73,280,55,146,328,147
1.571125,70,260,56,152,372,140
1.576458,80,241,54,134,405,131
1.581792,62,235,57,134,415,149
1.587125,64,259,61,157,449,177
1.592417,72,257,70,146,467,151
1.59775,80,234,65,132,503,175
1.603083,73,263,71,141,500,156
1.608417,76,249,52,153,484,158
1.61375,67,249,55,136,482,173
1.619083,75,287,59,145,451,160
1.624417,89,245,67,145,396,139
1.629708,70,251,59,142,400,145
1.635042,75,239,59,149,406,134
1.640375,69,246,51,124,414,144
1.645708,72,244,53,148,494,138
1.651042,69,227,66,154,479,140
1.656375,69,249,59,136,507,156
1.661708,73,244,60,122,511,144
1.667042,81,234,47,133,500,146
1.672333,74,237,57,128,530,154
1.677667,73,230,54,135,532,143
1.683,62,233,63,152,513,155
1.688333,73,250,53,130,492,183
1.693667,79,233,55,115,441,144
1.699,76,255,53,128,457,132
1.704333,57,225,63,138,481,150
1.709667,69,240,40,118,504,136
1.714958,60,250,45,128,497,133
1.720292,76,257,47,145,503,157
1.725625,60,222,53,144,564,150
1.730958,64,226,53,120,556,157
1.736292,72,238,45,153,518,151
1.741625,56,240,53,119,528,164
1.746958,70,239,62,127,556,159
1.752292,75,259,58,146,520,156
1.757583,78,244,65,135,448,144
1.762917,72,228,49,116,460,130
1.76825,72,264,57,138,469,145
1.773583,73,264,48,133,497,159
1.778917,62,263,55,148,559,157
1.78425,71,262,50,132,507,128
1.789583,71,211,67,136,548,152
1.794875,69,238,51,145,618,155
1.800208,74,235,49,163,582,158
1.805542,67,229,53,149,552,143
1.810875,67,211,57,143,596,156
1.816208,60,243,57,123,547,126
1.821542,71,284,54,129,500,138
1.826875,82,274,62,137,438,148
1.832167,84,277,62,122,459,145
1.8375,65,255,66,137,519,145
1.842833,65,223,51,124,575,135
1.848167,62,256,48,133,606,150
1.8535,75,234,58,148,647,142
1.858833,70,240,62,142,629,149
1.864167,80,192,60,148,654,147
1.8695,71,264,63,153,572,157
1.874792,68,225,59,147,571,155
1.880125,91,231,58,136,564,156
1.885458,69,272,61,144,573,121
1.890792,67,249,49,142,522,141
1.896125,83,251,61,130,519,150
1.901458,66,244,57,150,524,145
1.906792,65,248,53,136,554,145
1.912125,76,221,62,119,575,146
1.917417,57,252,49,139,621,143
1.92275,61,231,57,151,648,179
1.928083,76,235,61,150,636,161
1.933417,88,274,61,123,627,156
1.93875,64,228,46,151,603,153
1.944083,66,220,55,151,697,148
1.949417,72,281,51,136,577,147
1.954708,72,265,51,125,504,140
1.960042,70,209,57,131,519,130
1.965375,69,245,63,147,618,151
1.970708,58,244,58,147,608,132
1.976042,67,210,59,141,653,149
1.981375,63,246,56,141,705,124
1.986708,62,239,49,153,703,145
1.992,64,227,58,132,718,162
1.997333,70,237,50,130,640,150
2.002667,62,240,53,117,658,167
2.008,64,236,62,135,675,152
2.013333,62,225,53,132,585,158
2.018667,59,281,50,142,547,131
2.024,71,251,47,145,541,151
2.029333,67,236,64,134,606,123
2.034625,78,257,61,127,619,151
2.039958,70,255,58,138,654,137
2.045292,72,249,52,133,609,154
2.050625,76,256,61,160,668,173
2.055958,72,237,63,137,643,155
2.061292,75,226,58,149,632,153
2.066625,82,230,55,136,644,157
2.071958,57,258,53,136,667,142
2.07725,78,243,52,152,606,140
2.082583,69,240,55,140,584,139
2.087917,79,232,73,145,609,140
2.09325,59,255,62,141,642,145
2.098583,77,236,67,127,712,133
2.103917,70,223,58,150,799,152
2.10925,71,208,61,149,803,143
2.114542,75,221,49,155,803,149
2.119875,55,180,61,149,786,152
2.125208,80,252,51,151,763,162
2.130542,75,247,56,139,683,156
2.135875,74,262,55,154,651,128
2.141208,82,245,60,137,673,181
2.146542,88,228,56,140,787,169
2.151875,81,224,60,155,860,138
2.157167,77,224,64,153,975,157
2.1625,70,180,79,147,957,154
2.167833,60,211,62,148,907,155
2.173167,69,232,57,151,918,149
2.1785,72,255,59,141,835,142
2.183833,79,231,66,148,806,170
2.189167,72,232,67,141,972,139
2.194458,72,188,51,152,1072,186
2.199792,76,218,48,150,970,170
2.205125,72,233,62,164,984,137
2.210458,69,215,67,146,1143,153
2.215792,61,193,66,177,1246,162
2.221125,85,205,49,174,1176,173
2.226458,67,215,60,153,985,184
2.231792,69,249,59,155,886,155
2.237083,64,215,54,136,896,150
2.242417,81,238,61,151,1011,142
2.24775,69,209,77,144,1157,173
2.253083,80,198,59,157,1193,159
2.258417,84,195,73,168,1105,163
2.26375,71,223,64,149,946,163
2.269083,80,235,56,162,937,128
2.274417,75,214,59,166,1124,155
2.279708,76,186,73,168,1165,145
2.285042,88,173,73,177,1274,164
2.290375,70,193,73,165,1136,182
2.295708,81,190,54,153,1046,149
2.301042,72,216,63,150,1186,161
2.306375,72,230,55,186,1215,167
2.311708,78,228,65,184,1225,178
2.317,77,218,68,163,1099,159
2.322333,68,210,68,169,1004,155
2.327667,78,243,70,148,944,156
2.333,72,210,61,155,1126,143
2.338333,63,215,53,166,1169,158
2.343667,77,187,60,158,1157,156
2.349,74,191,73,155,1074,191
2.354292,79,219,64,163,994,149
2.359625,80,230,65,175,1099,156
2.364958,59,200,59,165,1171,154
2.370292,77,224,62,171,1242,164
2.375625,80,192,58,168,1206,177
2.380958,59,202,52,162,1139,150
2.386292,74,222,61,161,1253,170
2.391625,80,193,62,167,1268,155
2.396958,77,233,58,178,1238,182
2.40225,81,239,63,168,1081,168
2.407583,67,228,67,171,942,138
2.412917,81,256,59,145,967,154
2.41825,72,223,70,138,1085,159
2.423583,87,220,50,148,1204,145
2.428917,70,184,60,165,1163,165
2.43425,72,242,61,160,1147,180
2.439542,78,246,65,171,1028,161
2.444875,78,233,67,165,1118,154
2.450208,86,225,73,175,1130,169
2.455542,76,239,62,167,1166,156
2.460875,67,230,52,142,1110,159
2.466208,65,210,64,164,1165,158
2.471542,73,218,73,185,1252,161
2.476833,74,217,65,185,1315,152
2.482167,83,223,81,146,1239,158
2.4875,81,239,57,135,1107,132
2.492833,71,203,69,169,1016,141
2.498167,68,243,63,154,1152,161
2.5035,69,224,61,148,1252,160
2.508833,66,202,71,163,1215,166
2.514167,69,212,59,180,1181,154
2.519458,59,227,73,165,1105,157
2.524792,66,212,63,148,1174,161
2.530125,77,203,63,168,1295,150
2.535458,70,201,59,159,1286,147
2.540792,72,199,80,157,1275,153
2.546125,65,151,57,157,1307,147
2.551458,67,192,57,168,1347,164
2.556792,69,230,60,186,1239,160
2.562083,83,263,70,170,1170,157
2.567417,79,226,72,161,1081,186
2.57275,82,250,52,164,991,160
2.578083,68,256,58,152,1000,170
2.583417,63,235,73,166,1187,161
2.58875,72,215,69,182,1229,159
2.594083,68,213,71,166,1191,158
2.599375,73,256,68,172,1154,148
2.604708,78,215,66,152,1334,153
2.610042,70,185,71,187,1314,162
2.615375,78,223,70,160,1277,157
2.620708,74,199,51,147,1150,144
2.626042,70,234,71,148,1073,158
2.631375,71,223,59,162,1192,151
2.636708,68,213,54,166,1323,159
2.642,68,194,68,170,1487,146
2.647333,69,176,71,175,1389,183
2.652667,55,193,74,183,1327,176
2.658,71,197,72,179,1317,181
2.663333,71,217,78,147,1272,176
2.668667,77,223,56,178,1302,156
2.674,62,215,65,172,1196,147
2.679292,77,219,51,153,1222,145
2.684625,71,206,59,151,1210,139
2.689958,68,225,63,154,1218,152
2.695292,68,196,68,158,1288,152
2.700625,64,238,60,154,1306,155
2.705958,63,239,73,178,1247,135
2.711292,65,225,59,154,1138,137
2.716625,67,232,62,168,1003,138
2.721958,70,221,57,156,1113,151
2.72725,63,180,63,152,1378,138
2.732583,65,179,64,151,1360,163
2.737917,60,190,64,152,1399,141
2.74325,64,197,50,139,1179,142
2.748583,63,187,63,161,1241,147
2.753917,71,225,61,159,1288,150
2.75925,72,192,66,168,1357,167
2.764542,70,188,57,167,1287,161
2.769875,76,193,63,174,1431,143
2.775208,62,204,57,162,1432,150
2.780542,70,187,62,159,1343,156
2.785875,71,175,61,168,1403,163
2.791208,68,203,56,178,1367,144
2.796542,64,230,62,150,1218,143
2.801833,63,233,50,165,1098,148
2.807167,65,219,63,179,1174,157
2.8125,69,212,57,146,1396,170
2.817833,71,222,51,182,1305,142
2.823167,73,214,66,166,1274,162
2.8285,65,205,58,159,1297,169
2.833833,70,204,56,169,1205,157
